,year,month,value,rate,city
416,2023,May,11263,3.3,winstonsalem
417,2023,May,14112,3.8,greensboro
418,2023,May,24094,3.1,raleigh
419,2023,May,40271,3.2,charlotte
420,2023,November,10988,3.2,winstonsalem
421,2023,November,13658,3.7,greensboro
422,2023,November,24302,3.0,raleigh
423,2023,November,40436,3.2,charlotte
424,2023,October,11108,3.3,winstonsalem
425,2023,October,13603,3.7,greensboro
426,2023,October,24068,3.0,raleigh
427,2023,October,40193,3.2,charlotte
428,2023,September,10696,3.1,winstonsalem
429,2023,September,13280,3.6,greensboro
430,2023,September,23080,2.9,raleigh
431,2023,September,38539,3.0,charlotte
432,2024,February,11773,3.6,winstonsalem
433,2024,February,15032,4.1,greensboro
434,2024,February,26416,3.3,raleigh
435,2024,February,45192,3.6,charlotte
436,2024,January,11593,3.5,winstonsalem
437,2024,January,14799,4.0,greensboro
438,2024,January,25692,3.2,raleigh
439,2024,January,43910,3.5,charlotte
